,date_time_local,temperature_montreal,wind_speed_montreal,relative_humidity_montreal,temperature_gatineau,wind_speed_gatineau,relative_humidity_gatineau,temperature_quebec,wind_speed_quebec,relative_humidity_quebec,temperature_sherbrooke,wind_speed_sherbrooke,relative_humidity_sherbrooke,is_holiday,is_weekend,hour,month,year,day,production
0,2021-12-31 23:59:59-05:00,-0.5,4.0,91.0,-1.9,12.0,95.0,-2.2,8,94,1.3,5.0,99.0,True,True,24,12,2021,31,27019
1,2021-12-31 23:00:00-05:00,-0.5,7.0,91.0,-1.7,10.0,92.0,-2.3,8,94,0.5,4.0,99.0,False,False,23,12,2021,31,27966
2,2021-12-31 22:00:00-05:00,-0.6,7.0,92.0,-1.7,6.0,92.0,-2.3,6,94,0.6,0.0,99.0,False,False,22,12,2021,31,28764
3,2021-12-31 21:00:00-05:00,-0.6,3.0,92.0,-1.7,7.0,92.0,-2.5,11,96,0.5,4.0,99.0,False,False,21,12,2021,31,29321
4,2021-12-31 20:00:00-05:00,-0.7,3.0,92.0,-1.7,9.0,93.0,-2.5,9,95,0.8,4.0,98.0,False,False,20,12,2021,31,31213
5,2021-12-31 19:00:00-05:00,-0.7,8.0,90.0,-1.7,7.0,94.0,-2.4,9,92,0.9,0.0,98.0,False,False,19,12,2021,31,32253
6,2021-12-31 18:00:00-05:00,-0.6,9.0,91.0,-1.5,7.0,90.0,-2.3,8,89,0.9,4.0,98.0,False,False,18,12,2021,31,33189
7,2021-12-31 17:00:00-05:00,-0.9,11.0,92.0,-1.5,9.0,91.0,-2.2,11,87,1.1,4.0,98.0,False,False,17,12,2021,31,32257
8,2021-12-31 16:00:00-05:00,-0.6,14.0,89.0,-1.5,7.0,90.0,-2.1,15,86,1.3,8.0,97.0,False,False,16,12,2021,31,30493
9,2021-12-31 15:00:00-05:00,-0.3,11.0,83.0,-1.5,15.0,90.0,-1.9,12,86,1.5,5.0,96.0,False,False,15,12,2021,31,30012
10,2021-12-31 14:00:00-05:00,-0.4,14.0,82.0,-1.6,11.0,91.0,-1.9,19,81,2.2,4.0,91.0,False,False,14,12,2021,31,30236
11,2021-12-31 13:00:00-05:00,-0.8,7.0,83.0,-1.6,13.0,88.0,-1.7,17,77,2.1,8.0,95.0,False,False,13,12,2021,31,30930
12,2021-12-31 12:00:00-05:00,-0.8,8.0,80.0,-1.8,14.0,86.0,-1.6,17,80,1.0,0.0,98.0,False,False,12,12,2021,31,30578
13,2021-12-31 11:00:00-05:00,-1.2,13.0,82.0,-2.0,10.0,90.0,-1.7,18,82,0.3,0.0,98.0,False,False,11,12,2021,31,30541
14,2021-12-31 10:00:00-05:00,-1.7,12.0,85.0,-2.5,15.0,90.0,-1.8,19,83,0.2,0.0,98.0,False,False,10,12,2021,31,30416
15,2021-12-31 09:00:00-05:00,-2.3,8.0,86.0,-3.0,14.0,91.0,-2.0,23,87,-0.1,0.0,98.0,False,False,9,12,2021,31,30072
16,2021-12-31 08:00:00-05:00,-2.5,9.0,86.0,-3.3,7.0,91.0,-2.2,14,89,-0.4,4.0,98.0,False,False,8,12,2021,31,29576
17,2021-12-31 07:00:00-05:00,-2.6,9.0,87.0,-3.5,8.0,91.0,-2.3,13,90,-0.5,5.0,98.0,False,False,7,12,2021,31,29320
18,2021-12-31 06:00:00-05:00,-2.7,4.0,89.0,-3.7,5.0,93.0,-2.3,12,92,-0.4,0.0,98.0,False,False,6,12,2021,31,28145
19,2021-12-31 05:00:00-05:00,-2.8,6.0,89.0,-3.5,1.0,92.0,-2.3,13,94,-0.5,0.0,98.0,False,False,5,12,2021,31,27456
20,2021-12-31 04:00:00-05:00,-2.8,10.0,88.0,-3.8,4.0,93.0,-2.4,11,93,-0.6,0.0,98.0,False,False,4,12,2021,31,27195
21,2021-12-31 03:00:00-05:00,-2.7,12.0,87.0,-4.2,4.0,94.0,-2.8,3,92,-0.5,4.0,98.0,False,False,3,12,2021,31,27194
22,2021-12-31 02:00:00-05:00,-2.9,8.0,89.0,-5.0,3.0,93.0,-3.0,5,92,-0.5,4.0,97.0,False,False,2,12,2021,31,27339
23,2021-12-31 01:00:00-05:00,-2.9,9.0,90.0,-4.6,7.0,93.0,-3.2,7,92,-0.5,4.0,98.0,False,False,1,12,2021,31,27549
24,2021-12-30 23:59:59-05:00,-2.9,9.0,89.0,-5.0,2.0,93.0,-3.3,3,92,-0.5,4.0,98.0,False,False,24,12,2021,30,27986
25,2021-12-30 23:00:00-05:00,-2.8,9.0,89.0,-4.3,3.0,91.0,-3.2,4,91,-0.4,5.0,98.0,False,False,23,12,2021,30,29838
26,2021-12-30 22:00:00-05:00,-2.9,9.0,89.0,-3.0,6.0,89.0,-3.1,3,90,-0.4,4.0,97.0,False,False,22,12,2021,30,31012
