  Rang,month,day,hour,= Production brute des centrales d'HQP (MWh),- Consommation des centrales d'HQP (MWh),+ Électricité reçue par HQP aux points de raccordement des centrales et des interconnexions (MWh),+ Consommation attribuable à la puissance interruptible mise à la disposition d'HQP majorée des pertes de transport (MWh),production,- Volume des engagements du Producteur envers des tiers (MWh),= Volume d'électricité fournie par le Producteur au Distributeur (MWh),- Volume des approvisionnements hors patrimoniaux provenant d'HQP (MWh),= Volume d'électricité mobilisée par le Distributeur au titre de l'électricité patrimoniale (MWh)," Volume d'électricité patrimoniale
(bâtonnets affectés) (MWh)", Volume d'électricité mobilisée par le Distributeur en dépassement de l'électricité patrimoniale (MWh), Coût unitaire du dépassement ($/MWh),= Coût total horaire ($),(DAM HQ + TSC NYPA-HQ + NTAC + SC NYISO) * T ($/MWh)
,,,,1,2,3,4,5=1-2+3+4,6,7=5-6,8,9=7-8,10,11,12,13=11x12,14
1,1,1,1,"18,081",52,"6,989",0,"25,017","2,685","22,332",1817,"20,515",21919,0,110.00,0,14.59
2,1,1,2,"17,905",52,"7,211",0,"25,065","2,758","22,307",1817,"20,490",21899,0,110.00,0,13.78
3,1,1,3,"17,792",52,"7,205",0,"24,945","2,775","22,170",1817,"20,353",21797,0,110.00,0,13.76
4,1,1,4,"17,862",52,"7,135",0,"24,945","2,803","22,142",1817,"20,325",21752,0,110.00,0,13.49
5,1,1,5,"17,958",51,"7,023",0,"24,930","2,854","22,075",1817,"20,258",21723,0,110.00,0,12.85
6,1,1,6,"18,367",51,"7,085",0,"25,401","2,804","22,597",1817,"20,780",22198,0,110.00,0,13.49
7,1,1,7,"19,171",52,"6,978",0,"26,097","2,956","23,141",1817,"21,324",22702,0,110.00,0,11.15
8,1,1,8,"19,409",52,"6,996",0,"26,353","3,013","23,340",1817,"21,523",22876,0,110.00,0,16.72
9,1,1,9,"19,316",52,"7,039",0,"26,303","3,032","23,271",1817,"21,454",22812,0,110.00,0,22.01
10,1,1,10,"19,158",52,"7,145",0,"26,252","3,045","23,207",1817,"21,390",22759,0,110.00,0,23.39
11,1,1,11,"19,008",51,"7,254",0,"26,211","3,093","23,118",1817,"21,300",22678,0,110.00,0,21.74
12,1,1,12,"18,903",51,"7,349",0,"26,202","3,239","22,962",1817,"21,145",22531,0,110.00,0,21.78
13,1,1,13,"18,532",51,"7,527",0,"26,008","3,081","22,927",1817,"21,110",22491,0,110.00,0,21.80
14,1,1,14,"18,235",51,"7,690",0,"25,875","3,193","22,681",1817,"20,864",22264,0,110.00,0,20.57
15,1,1,15,"18,585",52,"7,531",0,"26,064","3,341","22,723",1817,"20,906",22310,0,110.00,0,19.91
16,1,1,16,"19,794",54,"7,080",0,"26,821","3,326","23,494",1817,"21,677",23010,0,110.00,0,21.38
17,1,1,17,"20,988",53,"6,981",0,"27,917","3,249","24,668",1817,"22,851",23944,0,110.00,0,24.82
18,1,1,18,"21,453",53,"7,000",0,"28,400","3,391","25,010",1817,"23,193",24278,0,110.00,0,25.63
19,1,1,19,"20,870",52,"6,965",0,"27,783","3,306","24,477",1817,"22,660",23795,0,110.00,0,25.63
20,1,1,20,"20,274",52,"7,146",0,"27,369","3,196","24,172",1817,"22,355",23585,0,110.00,0,25.63
21,1,1,21,"19,195",50,"7,557",0,"26,701","3,081","23,620",1817,"21,803",23098,0,110.00,0,24.82
22,1,1,22,"18,287",49,"7,808",0,"26,046","2,955","23,090",1817,"21,273",22658,0,110.00,0,24.82
23,1,1,23,"17,158",48,"8,033",0,"25,142","2,837","22,305",1817,"20,488",21898,0,110.00,0,20.40
24,1,1,24,"16,412",49,"8,129",0,"24,492","3,058","21,434",1817,"19,617",21150,0,110.00,0,15.50
25,1,2,1,"16,330",49,"8,016",0,"24,297","2,808","21,489",1817,"19,672",21204,0,110.00,0,12.70
26,1,2,2,"16,181",49,"7,907",0,"24,039","2,673","21,366",1817,"19,549",21062,0,110.00,0,12.70
27,1,2,3,"16,047",49,"7,826",0,"23,824","2,570","21,254",1817,"19,437",20966,0,110.00,0,12.70
28,1,2,4,"16,204",49,"7,868",0,"24,024","2,660","21,364",1817,"19,547",21057,0,110.00,0,12.70
29,1,2,5,"16,552",49,"7,915",0,"24,418","2,805","21,613",1817,"19,795",21304,0,110.00,0,12.70
30,1,2,6,"17,415",49,"8,019",0,"25,385","2,960","22,425",1817,"20,608",22018,0,110.00,0,13.19
31,1,2,7,"18,567",51,"8,091",0,"26,608","3,171","23,437",1817,"21,620",22958,0,110.00,0,16.79
32,1,2,8,"19,121",51,"8,127",0,"27,197","3,262","23,935",1817,"22,118",23376,0,110.00,0,23.58
33,1,2,9,"19,906",52,"7,911",0,"27,765","3,639","24,126",1817,"22,309",23532,0,110.00,0,25.42
