  Rang,month,day,hour,= Production brute des centrales d'HQP (MWh),- Consommation des centrales d'HQP (MWh),+ Électricité reçue par HQP aux points de raccordement des centrales et des interconnexions (MWh),+ Consommation attribuable à la puissance interruptible mise à la disposition d'HQP majorée des pertes de transport (MWh),production,- Volume des engagements du Producteur envers des tiers (MWh),= Volume d'électricité fournie par le Producteur au Distributeur (MWh),- Volume des approvisionnements hors patrimoniaux provenant d'HQP (MWh),= Volume d'électricité mobilisée par le Distributeur au titre de l'électricité patrimoniale (MWh)," Volume d'électricité patrimoniale
(bâtonnets affectés) (MWh)", Volume d'électricité mobilisée par le Distributeur en dépassement de l'électricité patrimoniale (MWh), Coût unitaire du dépassement ($/MWh),= Coût total horaire ($),(DAM HQ + TSC NYPA-HQ + NTAC + SC NYISO) * T ($/MWh)
,,,,1,2,3,4,5=1-2+3+4,6,7=5-6,8,9=7-8,10,11,12,13=11x12,14
1,1,1,1,"18,602",53,"8,306",0,"26,855","2,907","23,948",1817,"22,131",22285,0,108.63,0,19.05
2,1,1,2,"18,192",53,"8,257",0,"26,397","2,679","23,718",1817,"21,901",22056,0,108.63,0,19.05
3,1,1,3,"18,066",54,"8,098",0,"26,111","2,606","23,505",1817,"21,688",21860,0,108.63,0,18.02
4,1,1,4,"17,916",53,"8,196",0,"26,059","2,573","23,486",1817,"21,669",21836,0,108.63,0,18.06
5,1,1,5,"17,736",53,"8,395",0,"26,078","2,575","23,503",1817,"21,686",21859,0,108.63,0,17.92
6,1,1,6,"17,949",53,"8,232",0,"26,128","2,668","23,460",1817,"21,643",21825,0,108.63,0,17.84
7,1,1,7,"18,929",54,"8,071",0,"26,946","2,914","24,032",1817,"22,215",22383,0,108.63,0,19.05
8,1,1,8,"19,533",54,"8,128",0,"27,607","3,380","24,227",1817,"22,410",22541,0,108.63,0,19.21
9,1,1,9,"19,859",54,"7,617",0,"27,422","3,760","23,662",1817,"21,845",22015,0,108.63,0,22.76
10,1,1,10,"19,761",54,"7,913",0,"27,620","3,818","23,802",1817,"21,985",22113,0,108.63,0,27.26
11,1,1,11,"19,271",53,"7,858",0,"27,076","3,859","23,216",1817,"21,399",21655,0,108.63,0,27.17
12,1,1,12,"20,138",54,"7,538",0,"27,622","3,806","23,815",1817,"21,998",22130,0,108.63,0,28.95
13,1,1,13,"20,502",54,"7,026",0,"27,474","3,803","23,672",1817,"21,854",22018,0,108.63,0,27.39
14,1,1,14,"20,016",54,"7,058",0,"27,021","3,687","23,334",1817,"21,517",21743,0,108.63,0,26.82
15,1,1,15,"19,639",53,"7,390",0,"26,976","3,847","23,130",1817,"21,313",21582,0,108.63,0,26.99
16,1,1,16,"20,730",55,"7,266",0,"27,942","3,933","24,009",1817,"22,192",22340,0,108.63,0,27.26
17,1,1,17,"22,665",57,"7,559",0,"30,167","4,259","25,909",1817,"24,092",24153,0,108.63,0,30.31
18,1,1,18,"23,713",58,"8,049",0,"31,703","4,586","27,117",1817,"25,300",25411,0,108.63,0,36.00
19,1,1,19,"23,482",58,"8,232",0,"31,656","4,580","27,076",1817,"25,259",25363,0,108.63,0,37.92
20,1,1,20,"23,559",58,"8,314",0,"31,815","4,645","27,170",1817,"25,353",25454,0,108.63,0,38.52
21,1,1,21,"23,554",59,"8,060",0,"31,555","4,606","26,949",1817,"25,132",25238,0,108.63,0,36.59
22,1,1,22,"23,962",60,"8,017",0,"31,919","4,980","26,939",1817,"25,122",25212,0,108.63,0,33.85
23,1,1,23,"23,452",59,"8,149",0,"31,541","4,783","26,758",1817,"24,941",25037,0,108.63,0,28.20
24,1,1,24,"22,474",59,"8,023",0,"30,438","4,086","26,352",1817,"24,535",24577,0,108.63,0,28.98
25,1,2,1,"22,430",58,"7,950",0,"30,322","3,913","26,409",1817,"24,592",24640,0,108.63,0,33.41
26,1,2,2,"22,709",58,"7,695",0,"30,346","3,815","26,530",1817,"24,713",24767,0,108.63,0,31.86
27,1,2,3,"23,074",59,"7,549",0,"30,564","3,736","26,828",1817,"25,011",25116,0,108.63,0,30.95
28,1,2,4,"23,686",60,"7,340",0,"30,966","3,978","26,987",1817,"25,170",25264,0,108.63,0,30.52
29,1,2,5,"25,165",61,"7,324",0,"32,428","4,794","27,634",1817,"25,817",25912,0,108.63,0,30.80
30,1,2,6,"26,813",63,"7,351",0,"34,101","5,284","28,818",1817,"27,001",27136,0,108.63,0,34.19
31,1,2,7,"28,520",65,"7,443",0,"35,897","5,702","30,195",1817,"28,378",28453,0,108.63,0,43.60
32,1,2,8,"29,647",66,"7,626",0,"37,206","5,853","31,353",1817,"29,536",29750,0,300.00,0,44.14
33,1,2,9,"29,614",66,"7,644",0,"37,192","5,686","31,506",1817,"29,689",29940,0,300.00,0,46.45
34,1,2,10,"28,814",65,"6,836",0,"35,585","5,237","30,347",1817,"28,530",28604,0,108.63,0,46.23
35,1,2,11,"28,049",64,"6,456",0,"34,441","5,000","29,441",1817,"27,624",27740,0,108.63,0,44.59
36,1,2,12,"27,810",64,"6,330",0,"34,076","5,174","28,902",1817,"27,085",27211,0,108.63,0,43.68
37,1,2,13,"27,384",63,"6,333",0,"33,653","5,427","28,227",1817,"26,410",26562,0,108.63,0,41.81
38,1,2,14,"27,434",63,"6,322",0,"33,693","5,814","27,879",1817,"26,062",26144,0,108.63,0,40.97
39,1,2,15,"27,970",63,"6,198",0,"34,105","5,985","28,119",1817,"26,302",26480,0,108.63,0,40.32
40,1,2,16,"28,913",65,"6,574",120,"35,542","5,695","29,847",1817,"28,030",28104,0,108.63,0,40.37
41,1,2,17,"30,377",67,"7,136",121,"37,566","6,143","31,423",2567,"28,856",28979,0,108.63,0,49.23
42,1,2,18,"30,358",67,"7,540",122,"37,954","5,613","32,341",2567,"29,774",30019,0,300.00,0,65.79
43,1,2,19,"30,376",67,"7,365",123,"37,797","5,625","32,171",2567,"29,604",29846,0,300.00,0,60.89
44,1,2,20,"29,835",67,"7,383",122,"37,273","5,717","31,557",2567,"28,989",29203,0,300.00,0,52.08
45,1,2,21,"29,839",67,"6,914",122,"36,808","5,466","31,342",2567,"28,775",28858,0,108.63,0,45.41
46,1,2,22,"28,750",65,"6,785",0,"35,470","5,051","30,419",2567,"27,852",27976,0,108.63,0,40.38
47,1,2,23,"27,921",65,"6,272",0,"34,128","4,506","29,622",1817,"27,805",27918,0,108.63,0,30.31
48,1,2,24,"27,249",64,"6,665",0,"33,850","5,000","28,850",1817,"27,033",27171,0,108.63,0,31.94
49,1,3,1,"25,697",62,"6,945",0,"32,579","4,314","28,266",1817,"26,449",26586,0,108.63,0,27.26
50,1,3,2,"24,992",61,"7,084",0,"32,015","4,189","27,827",1817,"26,010",26089,0,108.63,0,26.66
51,1,3,3,"24,766",61,"7,339",0,"32,044","4,187","27,857",1817,"26,040",26123,0,108.63,0,25.81
52,1,3,4,"25,001",61,"7,369",0,"32,309","4,380","27,929",1817,"26,112",26185,0,108.63,0,25.81
53,1,3,5,"25,535",62,"7,199",0,"32,673","4,604","28,068",1817,"26,251",26383,0,108.63,0,27.26
54,1,3,6,"27,384",64,"6,673",0,"33,993","4,801","29,192",1817,"27,375",27487,0,108.63,0,27.26
55,1,3,7,"29,187",66,"6,544",0,"35,665","4,589","31,076",2317,"28,759",28836,0,108.63,0,37.83
56,1,3,8,"29,861",66,"6,391",0,"36,186","4,401","31,785",2317,"29,468",29642,0,300.00,0,44.76
57,1,3,9,"29,913",66,"6,344",0,"36,190","4,332","31,858",2317,"29,541",29759,0,300.00,0,45.83
58,1,3,10,"29,761",66,"6,108",0,"35,803","4,490","31,312",1817,"29,495",29674,0,300.00,0,45.40
59,1,3,11,"29,919",68,"5,960",0,"35,812","4,965","30,847",1817,"29,029",29218,0,300.00,0,42.79
60,1,3,12,"30,415",69,"5,754",0,"36,100","5,451","30,650",1817,"28,833",28972,0,108.63,0,42.54
61,1,3,13,"30,091",68,"6,117",0,"36,140","5,374","30,766",1817,"28,948",29138,0,300.00,0,39.24
62,1,3,14,"29,026",66,"5,821",0,"34,781","4,586","30,195",1817,"28,378",28452,0,108.63,0,35.72
63,1,3,15,"28,862",66,"5,664",0,"34,460","4,505","29,955",1817,"28,138",28210,0,108.63,0,33.81
64,1,3,16,"28,945",66,"5,717",0,"34,596","4,308","30,288",1817,"28,471",28553,0,108.63,0,35.80
65,1,3,17,"29,352",66,"6,247",0,"35,533","4,527","31,006",2317,"28,689",28733,0,108.63,0,46.92
66,1,3,18,"30,125",67,"6,243",0,"36,301","4,801","31,499",2317,"29,182",29437,0,300.00,0,61.93
