,production
2,28764
3,29321
4,31213
5,32253
6,33189
7,32257
8,30493
9,30012
10,30236
11,30930
12,30578
13,30541
14,30416
15,30072
16,29576
17,29320
18,28145
19,27456
20,27195
21,27194
22,27339
23,27549
24,27986
25,29838
26,31012
27,32225
28,33299
29,34722
30,34951
31,34234
32,32426
33,32299
34,32276
35,32924
36,33056
37,33401
38,33376
39,33077
40,32243
41,30905
42,30131
43,29203
44,29095
45,28813
46,28834
47,28983
48,29674
49,31527
50,32152
51,32738
52,34246
53,35037
54,35366
55,34813
56,32395
57,32391
58,32209
59,32525
60,33111
61,33253
62,33514
63,33209
64,33231
65,31381
66,30480
67,29553
68,29231
69,28776
70,28666
71,29117
72,29483
73,30515
74,32212
75,33590
76,34284
77,35360
78,36121
79,35682
80,34517
81,34225
82,34000
83,34567
84,34509
85,34076
86,33899
87,33719
88,33417
89,32488
90,31652
91,31177
92,30900
93,30650
94,30779
95,30871
96,31335
97,32765
98,32989
99,34370
100,35337
101,35832
102,35993
103,35993
104,34194
105,33490
106,33175
107,32975
108,33055
109,33710
110,34028
111,34396
112,33603
113,32566
114,29977
115,29052
116,28445
117,27926
118,27877
119,27991
120,28746
121,29498
122,30731
123,31614
124,32038
125,32864
126,33419
127,32636
128,30658
129,29736
130,29806
131,30307
132,30573
133,30483
134,30508
135,30503
136,30189
137,29525
138,29089
139,29033
140,28362
141,28422
142,28344
143,28363
144,29706
145,30412
146,30849
147,31506
148,31916
149,32420
150,33316
151,33131
152,32557
153,32477
154,32776
155,33045
156,33246
157,33458
158,33671
159,33249
160,32735
161,31980
162,31170
163,30617
164,30385
165,30336
166,30728
167,30986
168,31822
169,32059
170,32832
171,33172
172,33602
173,34551
174,35887
175,34910
176,33102
177,32635
178,33612
179,34640
180,35637
181,36254
182,37290
183,38210
184,37956
185,36139
186,35079
187,34379
188,33961
189,33677
190,33785
191,33999
192,35339
193,36191
194,37505
195,38265
196,38762
197,39122
198,39780
199,38365
200,36131
201,34115
202,33804
203,34958
204,35628
205,36470
206,37491
207,38288
208,38083
209,36168
210,34035
211,32030
212,31023
213,30204
214,30608
215,30263
216,31183
217,32272
218,33542
219,34204
220,34710
221,34415
222,34979
223,33800
224,32532
225,32334
226,32315
227,32562
228,32991
229,33062
230,33406
231,33905
232,33519
233,32514
234,30824
235,29835
236,29462
237,29489
238,28950
239,29466
240,29507
241,30895
242,32345
243,33918
244,34430
245,34536
246,34896
247,34041
248,32395
249,30781
250,30560
251,30923
252,31775
253,32141
254,32876
255,33609
256,32990
257,31544
258,29192
259,28367
260,27928
261,29720
262,28444
263,30567
264,30464
265,31872
266,33903
267,34087
268,35282
269,36290
270,37100
271,36510
272,34425
273,33976
274,33771
275,33945
276,34614
277,35634
278,36715
279,36899
280,36536
281,35530
282,34814
283,32560
284,31813
285,31489
286,31513
287,32673
288,33106
289,33003
290,34582
291,35708
292,36117
293,36370
294,36516
295,35597
296,32775
297,31228
298,30681
299,30896
300,31134
301,31786
302,32290
303,32266
304,31507
305,30662
306,29822
307,29336
308,28952
309,28871
310,28836
311,29276
312,29834
313,31213
314,32610
315,33616
316,34320
317,34718
318,35490
319,34667
320,33586
321,33400
322,33523
323,33690
324,33752
325,33200
326,32935
327,32026
328,30239
329,28788
330,27648
331,26740
332,26219
333,25958
334,26654
335,27461
336,27476
337,28574
338,29131
339,29067
340,29517
341,30068
342,30489
343,31259
344,29842
345,29347
346,28438
347,28117
348,28171
349,28210
350,28802
351,29109
352,28445
353,26598
354,23626
355,22402
356,21961
357,21724
358,21810
359,22294
360,22873
361,23753
362,25595
363,27334
364,28343
365,29114
366,30579
367,30002
368,27971
369,27292
370,27668
371,28488
372,28963
373,29192
374,30418
375,30950
376,30519
377,29093
378,26875
379,25997
380,25885
381,26066
382,26329
383,26998
384,27897
385,29284
386,30617
387,32197
388,32888
389,35033
390,35615
391,34091
392,32416
393,31778
394,31379
395,31314
396,31499
397,32096
398,32990
399,33916
400,34368
401,32349
402,30067
403,28977
404,28365
405,28288
406,28024
407,27816
408,28293
409,30059
410,32113
411,32449
412,32593
413,33742
414,33918
415,32515
416,29743
417,28657
418,28500
419,28784
420,29189
421,29801
422,30656
423,31732
424,32182
425,29880
426,26426
427,24559
428,23824
429,23498
430,23569
431,23906
432,26207
433,28160
434,29094
435,29985
436,30820
437,31060
438,31809
439,30051
440,27926
441,26829
442,26406
443,26983
444,27357
445,27968
446,28907
447,30134
448,29343
449,27840
450,25644
451,23477
452,23174
453,23068
454,23205
455,23563
456,24176
457,25108
458,26617
459,27350
460,27819
461,28267
462,30512
463,28232
464,26136
465,25346
466,25414
467,25813
468,26130
469,26467
470,26698
471,26381
472,25914
473,24866
474,23207
475,22698
476,22512
477,22568
478,22400
479,23111
480,23418
481,24509
482,26250
483,26629
484,28581
485,29570
486,31966
487,30613
488,29803
489,29425
490,29668
491,30512
492,30923
493,31154
494,30902
495,30563
496,29795
497,28831
498,28313
499,27764
500,27589
501,27682
502,27764
503,28083
504,28971
505,31373
506,32281
507,34252
508,35270
509,36143
510,37258
511,36466
512,35631
513,35290
514,35661
515,36145
516,36480
517,36850
518,37020
519,37234
520,37182
521,35075
522,33342
523,31954
524,31183
525,30893
526,31241
527,31644
528,32709
529,33989
530,34570
531,35201
532,35478
533,36486
534,36794
535,36533
536,34860
537,33657
538,34242
539,33830
540,34205
541,34964
542,35684
543,36191
544,36500
545,36000
546,34926
547,33108
548,32910
549,32199
550,32913
551,33782
552,34246
553,34362
554,34801
555,35358
556,36342
557,36328
558,35469
559,35013
560,34502
561,34480
562,34659
563,34352
564,33750
565,34861
566,35836
567,36515
568,36483
569,35396
570,35170
571,32277
572,31312
573,31488
574,32597
575,31807
576,32808
577,33829
578,34876
579,35716
580,36046
581,36270
582,35756
583,35756
584,34438
585,33344
586,32506
587,31524
588,31632
589,32043
590,32790
591,34047
592,34589
593,32509
594,28999
595,26412
596,25482
597,25019
598,24812
599,25472
600,26412
601,27399
602,29700
603,30660
604,32023
605,32615
606,33514
607,32971
608,31361
609,32111
610,31701
611,31856
612,32055
613,32610
614,33075
615,34090
616,33817
617,32338
618,29609
619,28956
620,28734
621,28693
622,28684
623,28973
624,29316
625,30635
626,32115
627,33727
628,33196
629,33877
630,34446
631,32756
632,32233
633,30471
634,30623
635,30325
636,32107
637,31633
638,32294
639,32844
640,32740
641,32912
642,31275
643,30242
644,29961
645,29176
646,29331
647,29095
648,30676
649,31242
650,32134
651,32060
652,32552
653,32475
654,32918
655,32796
656,32615
657,31809
658,31674
659,32129
660,32845
661,32048
662,33028
663,33609
664,34018
665,32923
666,31501
667,30625
668,30882
669,30788
670,31656
671,31728
672,32750
673,33172
674,33910
675,34618
676,34134
677,34885
678,35117
679,34230
680,32612
681,31504
682,31336
683,31495
684,31815
685,31999
686,32368
687,33176
688,33300
689,31770
690,28857
691,26503
692,25402
693,25085
694,24752
695,25392
696,27188
697,27888
698,30425
699,31671
700,32066
701,32929
702,33514
703,33052
704,31358
705,30717
706,30718
707,31226
708,31150
709,31254
710,30993
711,32117
712,31944
713,30782
714,28533
715,27396
716,27022
717,27130
718,28062
719,29123
720,29742
721,30766
722,32787
723,33106
724,33776
725,33995
726,34819
727,33455
728,31315
729,30353
730,29894
731,29500
732,29951
733,30309
734,31056
735,32189
736,32322
737,31916
738,29925
739,28185
740,26721
741,26619
742,26617
743,27363
744,28592
745,29758
746,31771
747,32722
748,33205
749,33718
750,33864
751,33384
752,31445
753,30625
754,30457
755,30574
756,30676
757,31138
758,31954
759,32923
760,33628
761,32601
762,31167
763,29751
764,28375
765,28382
766,28435
767,28824
768,29948
769,30769
770,31331
771,32966
772,33553
773,34190
774,34453
775,33610
776,31868
777,30745
778,30641
779,31098
780,31822
781,32292
782,32336
783,33112
784,33853
785,33060
786,30693
787,29659
788,29406
789,28521
790,28342
791,28518
792,29394
793,30206
794,31147
795,31846
796,32204
797,32542
798,33316
799,32428
800,30707
801,29847
802,29660
803,29963
804,30078
805,30059
806,30663
807,31244
808,32784
809,31111
810,29661
811,28890
812,28388
813,29146
814,29283
815,29296
816,29682
817,30198
818,30996
819,31533
820,31864
821,32439
822,32874
823,31887
824,31207
825,30295
826,30297
827,30493
828,30753
829,31021
830,30912
831,31152
832,30340
833,28892
834,27816
835,27443
836,26858
837,26632
838,26599
839,27086
840,27596
841,28349
842,29299
843,29733
844,30647
845,30851
846,31100
847,30822
848,29593
849,29632
850,30257
851,30490
852,30627
853,30244
854,30256
855,30798
856,30111
857,28428
858,26229
859,24525
860,23898
861,23772
862,24789
863,25938
864,26317
865,27230
866,29327
867,29889
868,30247
869,31051
870,31313
871,30914
872,29964
873,29470
874,29462
875,29488
876,29786
877,30365
878,30556
879,31359
880,31321
881,29674
882,26984
883,26031
884,25513
885,25359
886,25358
887,25436
888,27119
889,28363
890,29705
891,30837
892,31397
893,32131
894,32043
895,31031
896,28404
897,26939
898,26722
899,26548
900,27264
901,28514
902,30273
903,30754
904,32124
905,30847
906,30636
907,28654
908,27441
909,27606
910,28092
911,28199
912,28385
913,30546
914,31435
915,32237
916,32708
917,32424
918,31708
919,31407
920,31422
921,30423
922,30025
923,29206
924,29285
925,29828
926,29678
927,30096
928,30171
929,29359
930,29207
